spectrum_path,spectrum_filename,target_id,sample_id,material_id,group_id,possible_family_id,Zn_raw,Zn_mask,Mn_raw,Mn_mask,Cd_raw,Cd_mask,MgO_raw,Mg_mask,Cu_raw,Cu_mask,Pb_raw,Pb_mask,Mg_elemental_equivalent
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1183a.csv,plibs_z903_1183a.csv,1183a,1183A,,1183a,1183,58.0,1,387.0,1,,0,0.08,1,,0,17.0,1,0.0482433505359269
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11d1.csv,plibs_z903_11d1.csv,11d1,11D1,,11d1,,90.0,1,1317.0,1,,0,8.13,1,,0,,0,4.902730498213577
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11d2.csv,plibs_z903_11d2.csv,11d2,11D2,,11d2,,104.0,1,1549.0,1,,0,7.82,1,,0,,0,4.71578751488686
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11kmased001.csv,plibs_z903_11kmased001.csv,11kmased001,11KMASED001,,11kmased001,,85.0,1,929.0,1,,0,0.64,1,,0,14.0,1,0.3859468042874156
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11kmased002.csv,plibs_z903_11kmased002.csv,11kmased002,11KMASED002,,11kmased002,,74.0,1,775.0,1,,0,2.44,1,,0,10.0,1,1.471422191345772
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11kmased004.csv,plibs_z903_11kmased004.csv,11kmased004,11KMASED004,,11kmased004,,2.0,1,232.0,1,,0,0.14,1,,0,2.0,1,0.0844258634378721
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11kmased005.csv,plibs_z903_11kmased005.csv,11kmased005,11KMASED005,,11kmased005,,25.0,1,929.0,1,,0,0.84,1,,0,16.0,1,0.5065551806272329
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11kmased007.csv,plibs_z903_11kmased007.csv,11kmased007,11KMASED007,,11kmased007,,42.0,1,542.0,1,,0,1.48,1,,0,21.0,1,0.8925019849146486
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_11kmased008.csv,plibs_z903_11kmased008.csv,11kmased008,11KMASED008,,11kmased008,,20.0,1,620.0,1,,0,2.39,1,,0,4.0,1,1.4412700972608177
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_14d18.csv,plibs_z903_14d18.csv,14d18,14D18,,14d18,,111.0,1,1626.0,1,,0,6.84,1,,0,,0,4.124806470821754
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_14d24.csv,plibs_z903_14d24.csv,14d24,14D24,,14d24,,109.0,1,1626.0,1,,0,6.84,1,,0,,0,4.124806470821754
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1584a.csv,plibs_z903_1584a.csv,1584a,1584A,,1584a,,32.0,1,465.0,1,,0,,0,,0,17.0,1,
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_15d30.csv,plibs_z903_15d30.csv,15d30,15D30,,15d30,,120.0,1,1704.0,1,,0,6.55,1,,0,,0,3.949924325129019
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_15d38.csv,plibs_z903_15d38.csv,15d38,15D38,,15d38,,128.0,1,2169.0,1,,0,6.44,1,,0,,0,3.88358971814212
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_15d4.csv,plibs_z903_15d4.csv,15d4,15D4,,15d4,,121.0,1,1626.0,1,,0,6.54,1,,0,,0,3.943893906312028
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1782a.csv,plibs_z903_1782a.csv,1782a,1782A,,1782a,,28.0,1,465.0,1,,0,0.15,1,,0,17.0,1,0.090456282254863
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_17d11.csv,plibs_z903_17d11.csv,17d11,17D11,,17d11,,84.0,1,1549.0,1,,0,7.02,1,,0,,0,4.23335400952759
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_17d24.csv,plibs_z903_17d24.csv,17d24,17D24,,17d24,,88.0,1,1549.0,1,,0,7.12,1,,0,,0,4.293658197697499
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_17d9.csv,plibs_z903_17d9.csv,17d9,17D9,,17d9,,80.0,1,1472.0,1,,0,7.2,1,,0,,0,4.341901548233426
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1843a.csv,plibs_z903_1843a.csv,1843a,1843A,,1843a,,51.0,1,465.0,1,,0,0.07,1,,0,18.0,1,0.042212931718936
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_186m.csv,plibs_z903_186m.csv,186m,186M,,186m,,94.0,1,1007.0,1,,0,2.79,1,59.0,1,91.0,1,1.6824868499404524
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1872a.csv,plibs_z903_1872a.csv,1872a,1872A,,1872a,,35.0,1,232.0,1,,0,0.08,1,,0,23.0,1,0.0482433505359269
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_18d1.csv,plibs_z903_18d1.csv,18d1,18D1,,18d1,18D1,99.0,1,1549.0,1,,0,7.24,1,,0,,0,4.366023223501389
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_18d1a.csv,plibs_z903_18d1a.csv,18d1a,18D1A,,18d1a,18D1,98.0,1,1549.0,1,,0,7.18,1,,0,,0,4.329840710599444
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1984aa.csv,plibs_z903_1984aa.csv,1984aa,1984AA,,1984aa,,128.0,1,1394.0,1,,0,5.74,1,,0,2.0,1,3.4614604009527588
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_19d18.csv,plibs_z903_19d18.csv,19d18,19D18,,19d18,,117.0,1,1704.0,1,,0,6.9,1,,0,,0,4.1609889837237
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_19d58.csv,plibs_z903_19d58.csv,19d58,19D58,,19d58,,123.0,1,1626.0,1,,0,6.88,1,,0,,0,4.148928146089718
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1d17.csv,plibs_z903_1d17.csv,1d17,1D17,,1d17,,98.0,1,1472.0,1,,0,7.53,1,,0,,0,4.540905369194125
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_1d30.csv,plibs_z903_1d30.csv,1d30,1D30,,1d30,,98.0,1,1394.0,1,,0,6.7,1,,0,,0,4.040380607383883
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_2000a.csv,plibs_z903_2000a.csv,2000a,2000A,,2000a,,48.0,1,310.0,1,,0,0.21,1,,0,15.0,1,0.1266387951568082
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_2023b.csv,plibs_z903_2023b.csv,2023b,2023B,,2023b,,36.0,1,465.0,1,,0,0.21,1,,0,18.0,1,0.1266387951568082
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_203m.csv,plibs_z903_203m.csv,203m,203M,,203m,,95.0,1,1007.0,1,,0,27.29,1,20.0,1,1.0,1,16.457012951568082
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_209m.csv,plibs_z903_209m.csv,209m,209M,,209m,,84.0,1,1394.0,1,,0,4.1,1,80.0,1,3.0,1,2.472471714966256
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_210m.csv,plibs_z903_210m.csv,210m,210M,,210m,,63.0,1,1472.0,1,,0,3.08,1,68.0,1,7.0,1,1.857368995633188
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_213m.csv,plibs_z903_213m.csv,213m,213M,,213m,,59.0,1,1704.0,1,,0,4.99,1,59.0,1,8.0,1,3.0091789896784435
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_2160a.csv,plibs_z903_2160a.csv,2160a,2160A,,2160a,,40.0,1,387.0,1,,0,,0,,0,17.0,1,
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_216m.csv,plibs_z903_216m.csv,216m,216M,,216m,,68.0,1,1239.0,1,,0,4.69,1,66.0,1,1.0,1,2.8282664251687177
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_21d1.csv,plibs_z903_21d1.csv,21d1,21D1,,21d1,,123.0,1,1781.0,1,,0,6.79,1,,0,,0,4.0946543767368
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_21d15.csv,plibs_z903_21d15.csv,21d15,21D15,,21d15,,119.0,1,1626.0,1,,0,6.92,1,,0,,0,4.173049821357681
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_21d21.csv,plibs_z903_21d21.csv,21d21,21D21,,21d21,,119.0,1,1781.0,1,,0,6.97,1,,0,,0,4.203201915442635
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_21d41.csv,plibs_z903_21d41.csv,21d41,21D41,,21d41,,123.0,1,1704.0,1,,0,6.76,1,,0,,0,4.076563120285828
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_23d8.csv,plibs_z903_23d8.csv,23d8,23D8,,23d8,,92.0,1,1549.0,1,,0,6.85,1,,0,,0,4.130836889638745
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_26d3.csv,plibs_z903_26d3.csv,26d3,26D3,,26d3,,97.0,1,1317.0,1,,0,7.11,1,,0,,0,4.287627778880508
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_26d8a.csv,plibs_z903_26d8a.csv,26d8a,26D8A,,26d8a,,98.0,1,1472.0,1,,0,6.8,1,,0,,0,4.100684795553791
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_28d26.csv,plibs_z903_28d26.csv,28d26,28D26,,28d26,,91.0,1,1549.0,1,,0,6.86,1,,0,,0,4.136867308455736
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_28d27.csv,plibs_z903_28d27.csv,28d27,28D27,,28d27,,92.0,1,1472.0,1,,0,6.95,1,,0,,0,4.191141077808654
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_29d16.csv,plibs_z903_29d16.csv,29d16,29D16,,29d16,,110.0,1,1626.0,1,,0,7.39,1,,0,,0,4.456479505756252
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_2d1.csv,plibs_z903_2d1.csv,2d1,2D1,,2d1,,87.0,1,1317.0,1,,0,7.64,1,,0,,0,4.607239976181024
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_30d11.csv,plibs_z903_30d11.csv,30d11,30D11,,30d11,,107.0,1,1626.0,1,,0,7.36,1,,0,,0,4.43838824930528
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_31d118.csv,plibs_z903_31d118.csv,31d118,31D118,,31d118,,87.0,1,1472.0,1,,0,7.74,1,,0,,0,4.667544164350932
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_31d161.csv,plibs_z903_31d161.csv,31d161,31D161,,31d161,,100.0,1,1781.0,1,,0,7.65,1,,0,,0,4.613270394998015
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_31d2.csv,plibs_z903_31d2.csv,31d2,31D2,,31d2,,94.0,1,1549.0,1,,0,7.39,1,,0,,0,4.456479505756252
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_33d15.csv,plibs_z903_33d15.csv,33d15,33D15,,33d15,,103.0,1,1549.0,1,,0,7.13,1,,0,,0,4.29968861651449
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_33d17.csv,plibs_z903_33d17.csv,33d17,33D17,,33d17,,101.0,1,1626.0,1,,0,7.25,1,,0,,0,4.37205364231838
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_33d19.csv,plibs_z903_33d19.csv,33d19,33D19,,33d19,,103.0,1,1549.0,1,,0,7.12,1,,0,,0,4.293658197697499
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_34d1.csv,plibs_z903_34d1.csv,34d1,34D1,,34d1,,109.0,1,1549.0,1,,0,7.33,1,,0,,0,4.420296992854307
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_36d2.csv,plibs_z903_36d2.csv,36d2,36D2,,36d2,,121.0,1,1626.0,1,,0,6.67,1,,0,,0,4.022289350932909
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_37d11.csv,plibs_z903_37d11.csv,37d11,37D11,,37d11,,124.0,1,1626.0,1,,0,6.35,1,,0,,0,3.8293159487892017
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_37d14.csv,plibs_z903_37d14.csv,37d14,37D14,,37d14,,127.0,1,1704.0,1,,0,6.4,1,,0,,0,3.859468042874156
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_37d2.csv,plibs_z903_37d2.csv,37d2,37D2,,37d2,,117.0,1,1704.0,1,,0,6.77,1,,0,,0,4.082593539102818
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_39d4.csv,plibs_z903_39d4.csv,39d4,39D4,,39d4,,119.0,1,1626.0,1,,0,7.37,1,,0,,0,4.44441866812227
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d11.csv,plibs_z903_41d11.csv,41d11,41D11,,41d11,,109.0,1,1394.0,1,,0,7.6,1,,0,,0,4.5831183009130605
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d2.csv,plibs_z903_41d2.csv,41d2,41D2,,41d2,,94.0,1,1394.0,1,,0,8.5,1,,0,,0,5.125855994442238
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d22.csv,plibs_z903_41d22.csv,41d22,41D22,,41d22,,100.0,1,1472.0,1,,0,7.61,1,,0,,0,4.589148719730051
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d3.csv,plibs_z903_41d3.csv,41d3,41D3,,41d3,,98.0,1,1394.0,1,,0,7.56,1,,0,,0,4.558996625645097
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d34.csv,plibs_z903_41d34.csv,41d34,41D34,,41d34,,100.0,1,1394.0,1,,0,7.6,1,,0,,0,4.5831183009130605
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d37.csv,plibs_z903_41d37.csv,41d37,41D37,,41d37,,99.0,1,1472.0,1,,0,7.61,1,,0,,0,4.589148719730051
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d42.csv,plibs_z903_41d42.csv,41d42,41D42,,41d42,,101.0,1,1549.0,1,,0,7.61,1,,0,,0,4.589148719730051
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_41d9.csv,plibs_z903_41d9.csv,41d9,41D9,,41d9,,97.0,1,1394.0,1,,0,7.62,1,,0,,0,4.595179138547042
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_43d14.csv,plibs_z903_43d14.csv,43d14,43D14,,43d14,,87.0,1,1317.0,1,,0,7.88,1,,0,,0,4.751970027788805
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_43d15.csv,plibs_z903_43d15.csv,43d15,43D15,,43d15,,88.0,1,1317.0,1,,0,7.91,1,,0,,0,4.770061284239778
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_43d22.csv,plibs_z903_43d22.csv,43d22,43D22,,43d22,,96.0,1,1317.0,1,,0,7.88,1,,0,,0,4.751970027788805
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_44d6.csv,plibs_z903_44d6.csv,44d6,44D6,,44d6,,81.0,1,1317.0,1,,0,8.21,1,,0,,0,4.950973848749504
